#neweventset "Beneficial Global action pathboost nature"
#minpowerlevel 5
#maxpowerlevel 5

#req path1 == 64

#modulegroup "Beneficial Global Effect"
#uniquemodule 1
--#moduleskipchance 20

#noun "Gaia's Power"
--#verb "Disastrous"

#moduledescr "SUBJECT may cause someone close to them to be harmlessly enveloped in natural power, increasing their ability in nature magic."
#details "Grants +1 nature magic to a random commander in the province, including to commanders who had no nature magic to begin with. Paths cannot be raised above 4 in this way."


#end

#req_targnopath4 6
#nation -2
#pathboost 6
#msg "##fulltargname## has gained skill in nature magic!"
#nolog
